"BehaviorSpace results (NetLogo 6.2.2)"
"x.nlogo"
"experiment"
"02/11/2022 23:18:58:183 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","benchmark","transaction_rate","test_x","d0","test_days","test?","debug?","[step]","[investor-networth] of investor0"
"1","399300.SZ","0.002","[[3 10 -1][5 20 -1][10 200 -1] [ 5 10 0.1] ]","200","180","true","false","0","1000000"
"4","399300.SZ","0.002","[[3 10 -1][5 20 -1][10 200 -1] [ 5 10 0.1] ]","800","180","true","false","0","1000000"
"2","399300.SZ","0.002","[[3 10 -1][5 20 -1][10 200 -1] [ 5 10 0.1] ]","400","180","true","false","0","1000000"
"3","399300.SZ","0.002","[[3 10 -1][5 20 -1][10 200 -1] [ 5 10 0.1] ]","600","180","true","false","0","1000000"
"2","399300.SZ","0.002","[[3 10 -1][5 20 -1][10 200 -1] [ 5 10 0.1] ]","400","180","true","false","1","1389302.1458199995"
"1","399300.SZ","0.002","[[3 10 -1][5 20 -1][10 200 -1] [ 5 10 0.1] ]","200","180","true","false","1","1083104.82962"
"3","399300.SZ","0.002","[[3 10 -1][5 20 -1][10 200 -1] [ 5 10 0.1] ]","600","180","true","false","1","1532320.3093200005"
"4","399300.SZ","0.002","[[3 10 -1][5 20 -1][10 200 -1] [ 5 10 0.1] ]","800","180","true","false","1","2061794.9376400001"
"3","399300.SZ","0.002","[[3 10 -1][5 20 -1][10 200 -1] [ 5 10 0.1] ]","600","180","true","false","2","1810131.6013400003"
"2","399300.SZ","0.002","[[3 10 -1][5 20 -1][10 200 -1] [ 5 10 0.1] ]","400","180","true","false","2","1782066.6136000012"
"4","399300.SZ","0.002","[[3 10 -1][5 20 -1][10 200 -1] [ 5 10 0.1] ]","800","180","true","false","2","3292863.59226"
"1","399300.SZ","0.002","[[3 10 -1][5 20 -1][10 200 -1] [ 5 10 0.1] ]","200","180","true","false","2","1051014.56196"
